Random Forest Accuracy
Best Score = 0.6680
Best Hyper-parameters = {'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10}
0.5976 (+/-0.037) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 1}
0.6167 (+/-0.056) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 2}
0.6273 (+/-0.068) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 3}
0.6513 (+/-0.025) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 4}
0.6238 (+/-0.055) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 5}
0.6271 (+/-0.053) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 6}
0.6230 (+/-0.058) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 7}
0.6173 (+/-0.065) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 8}
0.6427 (+/-0.046) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 9}
0.6236 (+/-0.059) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 10}
0.5935 (+/-0.041) for {'criterion': 'entropy', 'max_depth': 4, 'n_estimators': 1}
0.6374 (+/-0.040) for {'criterion': 'entropy', 'max_depth': 4, 'n_estimators': 2}
0.6384 (+/-0.044) for {'criterion': 'entropy', 'max_depth': 4, 'n_estimators': 3}
0.6544 (+/-0.037) for {'criterion': 'entropy', 'max_depth': 4, 'n_estimators': 4}
0.6626 (+/-0.034) for {'criterion': 'entropy', 'max_depth': 4, 'n_estimators': 5}
0.6542 (+/-0.036) for {'criterion': 'entropy', 'max_depth': 4, 'n_estimators': 6}
0.6485 (+/-0.067) for {'criterion': 'entropy', 'max_depth': 4, 'n_estimators': 7}
0.6446 (+/-0.058) for {'criterion': 'entropy', 'max_depth': 4, 'n_estimators': 8}
0.6433 (+/-0.065) for {'criterion': 'entropy', 'max_depth': 4, 'n_estimators': 9}
0.6497 (+/-0.065) for {'criterion': 'entropy', 'max_depth': 4, 'n_estimators': 10}
0.6195 (+/-0.053) for {'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 1}
0.5431 (+/-0.178) for {'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 2}
